Option_No,College_Code,Course_Name,Course_Fee,College_Name,College_Name_Clean
1,E009BW,B TECH IN COMPUTER SCIENCE AND ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",PES University 100 Feet Ring Road
2,E009AM,B TECH IN COMPUTER SCIENCE & ENGINEERING (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",PES University 100 Feet Ring Road
3,E009BB,B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",PES University 100 Feet Ring Road
4,E048AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering
5,E048DS,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering
6,E048IC,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering
7,E048CB,COMPUTER SCIENCE AND BUSINESS SYSTEMS,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering
8,E048EC,ELECTRONICS AND COMMUNICATION ENGG,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering
9,E009BJ,B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",PES University 100 Feet Ring Road
10,E005BT,BIO-TECHNOLOGY,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",R. V. College of Engineering
11,E005ME,MECHANICAL ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",R. V. College of Engineering
12,E007DS,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
13,E007AI,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
14,E006SE,AERO SPACE ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",M S Ramaiah Institute of Technology
15,E007CY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
16,E007IE,INFORMATION SCIENCE AND ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
17,E007IC,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
18,E007CD,COMPUTER SCIENCE AND DESIGN,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
19,E007EC,ELECTRONICS AND COMMUNICATION ENGG,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
20,E009BO,B TECH IN BIO-TECHNOLOGY,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",PES University 100 Feet Ring Road
21,E006BT,BIO-TECHNOLOGY,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",M S Ramaiah Institute of Technology
22,E048BT,BIO-TECHNOLOGY,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering
23,E007AE,AERONAUTICAL ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
24,E126CB,COMPUTER SCIENCE AND BUSINESS SYSTEMS,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S Institute of Technology & Management, Yelahanka, Bangalore(AUTONOMOUS) POST BOX NO.6443, AVALAHALLI,DODDABALLAPURA MAIN ROAD,YELAHANKA, BANGALORE - 560064.",B M S Institute of Technology & Management
25,E007BT,BIO-TECHNOLOGY,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering
26,E060AI,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Dr. Ambedkar Institute of Technology
27,E006MD,MEDICAL ELECTRONICS ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",M S Ramaiah Institute of Technology
28,E060IE,INFORMATION SCIENCE AND ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Dr. Ambedkar Institute of Technology
